IDX,Applicant_ID,Total_Experience,Total_Experience_in_field_applied,Department,Role,Industry,Organization,Designation,Education,Graduation_Specialization,University_Grad,Passing_Year_Of_Graduation,PG_Specialization,University_PG,Passing_Year_Of_PG,PHD_Specialization,University_PHD,Passing_Year_Of_PHD,Curent_Location,Preferred_location,Current_CTC,Inhand_Offer,Last_Appraisal_Rating,No_Of_Companies_worked,Number_of_Publications,Certifications,International_degree_any,Expected_CTC
9740,57597,2,2,Marketing,Financial Analyst,IT,J,Consultant,PG,Economics,Mumbai,2010.0,Others,Mumbai,2012.0,Economics,Lucknow,2018.0,Mumbai,Mangalore,592798,Y,A,3,3,4,0,782493
9743,13513,11,4,HR,Team Lead,IT,L,Others,Doctorate,Sociology,Pune,2001.0,Sociology,Pune,2003.0,Sociology,Jaipur,2009.0,Jaipur,Jaipur,2014281,N,D,3,5,0,0,2501737
9747,30099,9,3,Education,Bio statistician,Automobile,F,Research Analyst,Doctorate,Arts,Bhubaneswar,2002.0,Arts,Bhubaneswar,2004.0,Arts,Jaipur,2011.0,Bangalore,Pune,1736076,N,B,1,7,0,0,2343702
9749,44682,15,6,Sales,Team Lead,Insurance,E,Director,Doctorate,Economics,Ahmedabad,1996.0,Economics,Ahmedabad,1998.0,Economics,Jaipur,2005.0,Kolkata,Kanpur,1718346,N,A,2,6,0,0,2319767
9755,54042,2,1,Marketing,Team Lead,Training,O,Research Analyst,PG,Engineering,Pune,2009.0,Engineering,Pune,2011.0,Engineering,Kolkata,2018.0,Kolkata,Kolkata,576843,N,C,2,4,1,0,679290
9757,39698,1,1,Marketing,Scientist,Analytics,M,Marketing Manager,PG,Arts,Mumbai,2010.0,Arts,Mumbai,2012.0,Arts,Kolkata,2019.0,Mumbai,Guwahati,407956,N,B,3,3,0,0,530342
9759,26582,13,12,Education,Head,Others,P,Manager,Grad,Statistics,Pune,2000.0,Statistics,Pune,2002.0,Statistics,Jaipur,2007.0,Nagpur,Mangalore,2053456,N,A,5,4,0,1,2566820
9760,58003,19,8,Others,CEO,BFSI,B,Assistant Manager,Doctorate,Mathematics,Jaipur,1994.0,Mathematics,Jaipur,1996.0,Mathematics,Guwahati,2001.0,Bangalore,Surat,2759208,N,D,6,6,0,0,3426936
9762,24910,25,22,Banking,Consultant,IT,P,Research Analyst,PG,Zoology,Mangalore,1987.0,Zoology,Mangalore,1989.0,Zoology,Ahmedabad,1995.0,Bangalore,Bangalore,3123543,N,D,4,4,0,0,3735757
9763,37055,14,12,Top Management,Area Sales Manager,IT,E,CA,PG,Statistics,Lucknow,2000.0,Statistics,Lucknow,2002.0,Statistics,Kolkata,2006.0,Bangalore,Jaipur,2158839,Y,Key_Performer,2,5,0,0,2849667
9764,28401,2,1,Analytics/BI,Project Manager,Retail,E,Software Developer,Doctorate,Chemistry,Jaipur,2009.0,Chemistry,Jaipur,2011.0,Chemistry,Delhi,2018.0,Chennai,Mangalore,865982,Y,B,2,7,0,0,1125776
9765,51292,3,2,Marketing,Associate,Retail,J,Assistant Manager,Grad,Others,Kolkata,2008.0,Chemistry,Kolkata,2010.0,Chemistry,Mumbai,2017.0,Bangalore,Bangalore,544493,N,C,2,5,0,0,626166
9766,22052,18,16,Sales,Scientist,Insurance,N,Web Designer,Doctorate,Others,Pune,1994.0,Psychology,Pune,1996.0,Arts,Bhubaneswar,2002.0,Pune,Bangalore,3181937,Y,A,6,8,0,0,4454711
9767,40719,15,9,Engineering,Scientist,FMCG,G,Product Manager,Doctorate,Engineering,Bangalore,1997.0,Engineering,Bangalore,1999.0,Engineering,Nagpur,2005.0,Chennai,Mumbai,1687623,Y,Key_Performer,3,7,0,1,2362672
9769,33542,2,2,Analytics/BI,Analyst,Analytics,M,CA,Doctorate,Others,Nagpur,2009.0,Engineering,Nagpur,2011.0,Mathematics,Delhi,2018.0,Pune,Jaipur,599086,N,A,3,8,0,0,748857
9773,57251,22,21,Top Management,Sales Execituve,IT,C,Research Scientist,PG,Arts,Delhi,1992.0,Arts,Delhi,1994.0,Arts,Mumbai,1998.0,Delhi,Delhi,3074906,Y,Key_Performer,2,5,2,0,4058875
9775,26609,19,2,Marketing,CEO,Others,B,Others,Doctorate,Mathematics,Ahmedabad,1995.0,Others,Ahmedabad,1997.0,Others,Bhubaneswar,2001.0,Pune,Kolkata,2885218,N,A,5,5,0,1,3895044
9780,13199,4,3,Analytics/BI,Data scientist,IT,E,Sr.Manager,PG,Others,Surat,2010.0,Chemistry,Surat,2012.0,Others,Kolkata,2016.0,Bhubaneswar,Pune,963561,Y,Key_Performer,1,4,0,1,1322776
9784,43165,13,4,Healthcare,Analyst,Others,B,Marketing Manager,PG,Engineering,Lucknow,1999.0,Engineering,Lucknow,2001.0,Engineering,Bhubaneswar,2007.0,Jaipur,Kolkata,1961327,N,C,3,5,0,0,2345747
9785,45989,20,5,Sales,Others,Automobile,J,Director,PG,Engineering,Surat,1992.0,Engineering,Surat,1994.0,Engineering,Pune,2000.0,Lucknow,Chennai,2332003,N,C,6,6,1,0,2789075
9786,58671,20,7,Top Management,Senior Analyst,Automobile,L,Sr.Manager,Doctorate,Economics,Surat,1991.0,Others,Surat,1993.0,Botony,Kolkata,2000.0,Pune,Ahmedabad,2488605,Y,A,3,5,0,0,3484047
9788,56115,4,1,Marketing,Analyst,IT,C,Product Manager,Doctorate,Mathematics,Mangalore,2007.0,Mathematics,Mangalore,2009.0,Mathematics,Lucknow,2016.0,Mumbai,Guwahati,929879,N,C,4,5,0,0,1154909
9789,29765,16,5,HR,Business Analyst,Automobile,B,Others,Doctorate,Mathematics,Lucknow,1996.0,Others,Lucknow,1998.0,Botony,Nagpur,2004.0,Jaipur,Lucknow,3776401,Y,Key_Performer,3,8,0,0,5286961
9790,22865,1,0,Accounts,Consultant,Analytics,E,Assistant Manager,Doctorate,Others,Surat,2012.0,Zoology,Surat,2014.0,Botony,Lucknow,2019.0,Delhi,Bangalore,852675,N,B,3,6,0,0,1065843
9797,17080,23,4,Marketing,Financial Analyst,Retail,O,Web Designer,Doctorate,Others,Pune,1990.0,Arts,Pune,1992.0,Others,Kolkata,1997.0,Kanpur,Kolkata,3505621,Y,A,5,4,0,0,4907869
9799,39936,7,0,Analytics/BI,Others,Analytics,C,Product Manager,Doctorate,Zoology,Nagpur,2006.0,Zoology,Nagpur,2008.0,Zoology,Guwahati,2013.0,Bhubaneswar,Surat,1506713,N,A,5,4,0,0,2115425
9800,29932,5,0,Sales,Business Analyst,Others,K,HR,Doctorate,Zoology,Ahmedabad,2009.0,Others,Ahmedabad,2011.0,Sociology,Surat,2015.0,Pune,Jaipur,1314953,N,D,3,7,0,0,1633171
9802,39465,7,5,Others,Bio statistician,FMCG,O,CA,Grad,Statistics,Kolkata,2004.0,Statistics,Kolkata,2006.0,Statistics,Nagpur,2013.0,Pune,Mangalore,1036747,N,B,1,7,0,0,1295933
9803,55939,6,1,Marketing,Consultant,Aviation,N,Software Developer,Grad,Economics,Kolkata,2006.0,Economics,Kolkata,2008.0,Economics,Mangalore,2014.0,Kanpur,Jaipur,1456078,N,D,2,6,4,0,1674489
9804,13712,2,1,IT-Software,Associate,FMCG,P,Software Developer,PG,Others,Lucknow,2011.0,Sociology,Lucknow,2013.0,Zoology,Delhi,2018.0,Lucknow,Mangalore,529840,Y,A,1,8,1,0,699388
9806,34810,7,5,HR,Project Manager,Aviation,N,Network Engineer,Grad,Others,Nagpur,2004.0,Mathematics,Nagpur,2006.0,Botony,Kolkata,2013.0,Lucknow,Mangalore,1393438,N,C,2,4,2,0,1602453
9808,34898,15,0,Healthcare,Business Analyst,Insurance,C,Marketing Manager,Doctorate,Mathematics,Bhubaneswar,1999.0,Mathematics,Bhubaneswar,2001.0,Mathematics,Surat,2005.0,Kanpur,Lucknow,1662367,N,B,2,3,0,0,2244195
9812,48670,17,9,Healthcare,Sales Execituve,IT,I,Sr.Manager,Doctorate,Engineering,Guwahati,1996.0,Engineering,Guwahati,1998.0,Engineering,Kolkata,2003.0,Mumbai,Bangalore,3026657,N,C,4,3,0,0,3759107
9814,43280,6,4,Sales,Analyst,Telecom,D,Network Engineer,PG,Chemistry,Nagpur,2006.0,Chemistry,Nagpur,2008.0,Chemistry,Lucknow,2014.0,Guwahati,Bhubaneswar,1100667,Y,Key_Performer,2,3,1,0,1510995
9818,36221,13,4,IT-Software,Sales Execituve,Insurance,D,Marketing Manager,PG,Economics,Kolkata,2000.0,Economics,Kolkata,2002.0,Economics,Ahmedabad,2007.0,Surat,Kolkata,2295792,Y,A,5,6,1,0,3030445
9819,43523,13,13,IT-Software,Others,Others,P,Product Manager,Doctorate,Statistics,Lucknow,1998.0,Statistics,Lucknow,2000.0,Statistics,Bangalore,2007.0,Mumbai,Bangalore,1712859,N,C,3,6,0,0,2127370
9820,57565,12,12,Education,Others,Insurance,E,Consultant,PG,Mathematics,Ahmedabad,2002.0,Mathematics,Ahmedabad,2004.0,Mathematics,Jaipur,2008.0,Mumbai,Delhi,1726410,Y,B,5,8,3,0,2278861
9821,17439,25,17,Marketing,Sales Manager,FMCG,E,Others,Grad,Chemistry,Surat,1988.0,Chemistry,Surat,1990.0,Chemistry,Nagpur,1995.0,Delhi,Bhubaneswar,2750138,N,C,4,8,0,0,3162658
9824,28197,7,2,IT-Software,Team Lead,IT,B,Director,Doctorate,Statistics,Bangalore,2007.0,Statistics,Bangalore,2009.0,Statistics,Mumbai,2013.0,Bangalore,Chennai,1633215,N,A,1,3,0,0,2293033
9825,34694,9,7,Analytics/BI,Senior Researcher,Retail,C,Research Analyst,Doctorate,Arts,Guwahati,2003.0,Arts,Guwahati,2005.0,Arts,Mumbai,2011.0,Mangalore,Lucknow,1612308,N,D,1,8,0,0,2002486
9826,33837,3,1,Healthcare,Consultant,Analytics,L,Consultant,PG,Chemistry,Delhi,2010.0,Chemistry,Delhi,2012.0,Chemistry,Bangalore,2017.0,Guwahati,Chennai,578443,N,A,1,5,1,0,751975
9832,13511,12,7,Engineering,Sales Manager,Training,N,Consultant,Doctorate,Botony,Pune,2000.0,Botony,Pune,2002.0,Botony,Pune,2008.0,Chennai,Ahmedabad,1661422,N,C,3,7,0,0,2063486
9833,55257,18,0,Marketing,Sales Execituve,IT,I,Software Developer,PG,Others,Bhubaneswar,1993.0,Mathematics,Bhubaneswar,1995.0,Economics,Ahmedabad,2002.0,Kanpur,Nagpur,2679457,Y,A,4,4,1,0,3536883
9834,11039,15,13,Banking,Project Manager,BFSI,O,HR,Doctorate,Mathematics,Pune,1999.0,Mathematics,Pune,2001.0,Mathematics,Guwahati,2005.0,Nagpur,Surat,1772459,N,B,6,8,0,0,2392819
9839,42180,14,5,Education,Sales Execituve,Retail,P,HR,Doctorate,Others,Kolkata,1997.0,Statistics,Kolkata,1999.0,Arts,Kolkata,2006.0,Mangalore,Ahmedabad,1569131,N,C,5,3,0,0,1948860
9840,10319,3,3,Engineering,Project Manager,FMCG,N,Consultant,PG,Others,Bangalore,2010.0,Statistics,Bangalore,2012.0,Engineering,Ahmedabad,2017.0,Chennai,Lucknow,670518,N,B,1,6,1,0,871673
9843,20928,19,15,Healthcare,Head,Training,N,Manager,Grad,Statistics,Guwahati,1994.0,Statistics,Guwahati,1996.0,Statistics,Lucknow,2001.0,Nagpur,Kolkata,2503066,N,D,3,8,0,0,2878525
9844,49461,18,4,Education,Project Manager,Retail,M,HR,Doctorate,Economics,Jaipur,1994.0,Economics,Jaipur,1996.0,Economics,Bangalore,2002.0,Jaipur,Guwahati,2786046,Y,C,4,7,0,0,3588427
9846,42579,7,7,Engineering,Others,BFSI,C,Data Analyst,Grad,Engineering,Surat,2005.0,Engineering,Surat,2007.0,Engineering,Pune,2013.0,Mangalore,Guwahati,914065,Y,D,2,6,1,0,1076402
9848,16117,6,5,Analytics/BI,Team Lead,FMCG,G,Research Scientist,PG,Psychology,Kolkata,2006.0,Psychology,Kolkata,2008.0,Psychology,Delhi,2014.0,Mumbai,Surat,1321847,N,C,4,7,0,0,1580929
9851,41394,14,10,Banking,Sales Manager,FMCG,L,Research Scientist,PG,Sociology,Mumbai,1999.0,Sociology,Mumbai,2001.0,Sociology,Surat,2006.0,Bangalore,Pune,1667529,N,B,6,4,1,0,2167787
9852,16283,7,2,Others,Others,Insurance,B,CA,Doctorate,Mathematics,Jaipur,2006.0,Mathematics,Jaipur,2008.0,Mathematics,Nagpur,2013.0,Delhi,Nagpur,1418881,Y,D,4,6,0,0,1827518
9853,19224,9,6,Sales,Team Lead,Automobile,I,Research Scientist,PG,Psychology,Ahmedabad,2005.0,Psychology,Ahmedabad,2007.0,Psychology,Bhubaneswar,2011.0,Nagpur,Jaipur,1678867,N,D,6,3,0,0,2007924
9856,47649,11,5,Top Management,Area Sales Manager,Insurance,M,Product Manager,Grad,Sociology,Pune,2003.0,Others,Pune,2005.0,Psychology,Surat,2009.0,Mumbai,Chennai,1923870,N,B,6,6,0,0,2404837
9857,10266,23,18,Analytics/BI,Bio statistician,Aviation,N,Medical Officer,Doctorate,Chemistry,Surat,1989.0,Others,Surat,1991.0,Mathematics,Lucknow,1997.0,Bhubaneswar,Nagpur,2344412,Y,Key_Performer,5,4,0,0,3282176
9858,15826,21,11,HR,Team Lead,Training,M,Manager,Doctorate,Engineering,Surat,1991.0,Engineering,Surat,1993.0,Others,Pune,1999.0,Kanpur,Lucknow,2444606,Y,Key_Performer,2,7,0,0,3422448
9859,57943,6,1,Banking,Financial Analyst,Retail,K,CA,PG,Mathematics,Kolkata,2007.0,Mathematics,Kolkata,2009.0,Mathematics,Pune,2014.0,Mumbai,Chennai,1100079,N,A,2,4,3,0,1487306
9861,45464,18,1,Analytics/BI,Senior Researcher,BFSI,G,Sr.Manager,PG,Arts,Bhubaneswar,1996.0,Others,Bhubaneswar,1998.0,Arts,Kolkata,2002.0,Kolkata,Pune,3506715,Y,Key_Performer,5,7,1,0,4628863
9864,55208,1,0,Sales,Sales Execituve,Insurance,C,Research Analyst,Doctorate,Mathematics,Guwahati,2013.0,Mathematics,Guwahati,2015.0,Others,Kolkata,2019.0,Guwahati,Bhubaneswar,782796,N,D,1,6,0,0,950627
9869,21909,24,19,IT-Software,Project Manager,Analytics,C,Manager,PG,Economics,Surat,1990.0,Economics,Surat,1992.0,Others,Mangalore,1996.0,Surat,Kanpur,2646939,Y,C,3,4,0,0,3214442
9870,17343,20,1,Others,Analyst,Insurance,E,Research Analyst,Doctorate,Engineering,Nagpur,1992.0,Engineering,Nagpur,1994.0,Engineering,Guwahati,2000.0,Surat,Jaipur,2677937,N,A,3,4,0,0,3615214
9872,11072,24,15,Analytics/BI,Financial Analyst,FMCG,P,Software Developer,PG,Economics,Lucknow,1989.0,Economics,Lucknow,1991.0,Economics,Bangalore,1996.0,Mangalore,Lucknow,3379559,N,D,4,3,0,0,4041952
9875,42436,2,1,Marketing,Others,Retail,F,Medical Officer,Doctorate,Sociology,Bangalore,2011.0,Sociology,Bangalore,2013.0,Sociology,Jaipur,2018.0,Lucknow,Chennai,881619,N,D,3,7,0,0,1013861
9877,21808,12,2,Education,CEO,Training,I,Research Analyst,Doctorate,Arts,Jaipur,1999.0,Arts,Jaipur,2001.0,Others,Bhubaneswar,2008.0,Kanpur,Mumbai,1847706,N,C,6,4,0,1,2294850
9878,40661,24,18,Engineering,CEO,Training,E,Network Engineer,Doctorate,Economics,Bhubaneswar,1987.0,Others,Bhubaneswar,1989.0,Engineering,Mangalore,1996.0,Nagpur,Jaipur,3537828,N,D,3,4,0,1,4393982
9879,30136,9,3,Others,Bio statistician,Telecom,G,Manager,Grad,Statistics,Ahmedabad,2002.0,Statistics,Ahmedabad,2004.0,Statistics,Surat,2011.0,Mangalore,Jaipur,1177553,N,A,2,4,0,0,1471941
9880,16489,21,10,Healthcare,Bio statistician,IT,H,Data Analyst,Grad,Mathematics,Delhi,1992.0,Mathematics,Delhi,1994.0,Mathematics,Lucknow,1999.0,Jaipur,Nagpur,2472520,Y,D,2,7,1,0,2911639
9883,20803,4,2,Engineering,Associate,Automobile,C,Sr.Manager,Doctorate,Zoology,Delhi,2007.0,Zoology,Delhi,2009.0,Zoology,Kolkata,2016.0,Jaipur,Lucknow,1369154,N,C,5,5,0,0,1700489
9890,25945,8,0,Top Management,Principal Analyst,Retail,P,Others,PG,Others,Mangalore,2003.0,Psychology,Mangalore,2005.0,Arts,Guwahati,2012.0,Ahmedabad,Mumbai,1043706,Y,Key_Performer,1,7,0,0,1432799
9895,52298,3,1,IT-Software,Associate,Aviation,C,Others,PG,Engineering,Mumbai,2008.0,Engineering,Mumbai,2010.0,Engineering,Kolkata,2017.0,Delhi,Mangalore,779010,N,D,1,4,2,0,931695
9896,32325,17,1,Healthcare,Project Manager,BFSI,K,Product Manager,Doctorate,Chemistry,Bhubaneswar,1995.0,Chemistry,Bhubaneswar,1997.0,Others,Surat,2003.0,Kanpur,Kanpur,2385864,N,C,3,8,0,0,2963243
9897,35242,18,1,Marketing,Business Analyst,Others,A,Manager,Grad,Statistics,Mangalore,1996.0,Statistics,Mangalore,1998.0,Statistics,Mangalore,2002.0,Kolkata,Kolkata,2509450,N,B,6,7,0,0,3136812
9898,20025,12,2,Education,Sales Manager,Automobile,D,Manager,Doctorate,Botony,Pune,2001.0,Others,Pune,2003.0,Arts,Ahmedabad,2008.0,Mangalore,Guwahati,1574513,N,A,2,4,0,0,2125592
9899,40097,22,19,Education,Sales Execituve,Insurance,N,Software Developer,Grad,Mathematics,Bhubaneswar,1992.0,Mathematics,Bhubaneswar,1994.0,Mathematics,Nagpur,1998.0,Surat,Mumbai,2144796,Y,B,5,8,1,0,2745338
9900,25334,8,1,Top Management,Principal Analyst,Training,J,HR,Grad,Economics,Delhi,2005.0,Economics,Delhi,2007.0,Economics,Pune,2012.0,Guwahati,Mumbai,1144506,N,B,1,5,0,1,1430632
9902,44494,5,5,IT-Software,Project Manager,Others,I,HR,Doctorate,Statistics,Jaipur,2009.0,Statistics,Jaipur,2011.0,Statistics,Delhi,2015.0,Kanpur,Bhubaneswar,972871,N,B,5,6,0,0,1313375
9903,11124,9,6,Engineering,Others,Analytics,C,Consultant,PG,Zoology,Lucknow,2003.0,Zoology,Lucknow,2005.0,Zoology,Delhi,2011.0,Nagpur,Mangalore,1345191,N,C,3,7,0,0,1608848
9905,16317,25,16,Education,CEO,Telecom,C,HR,PG,Others,Guwahati,1987.0,Chemistry,Guwahati,1989.0,Others,Mumbai,1995.0,Kanpur,Mumbai,2012592,N,B,2,3,0,1,2616369
9906,29772,4,3,Marketing,Scientist,Others,J,Sr.Manager,PG,Zoology,Jaipur,2008.0,Zoology,Jaipur,2010.0,Zoology,Delhi,2016.0,Jaipur,Kolkata,848385,N,B,5,4,0,1,1102900
9918,49596,12,12,HR,Scientist,Telecom,H,Others,Doctorate,Statistics,Nagpur,2001.0,Statistics,Nagpur,2003.0,Statistics,Lucknow,2008.0,Delhi,Guwahati,1845164,N,A,5,6,0,1,2490971
9919,18181,21,21,Education,Analyst,Analytics,L,Marketing Manager,PG,Arts,Lucknow,1992.0,Arts,Lucknow,1994.0,Arts,Guwahati,1999.0,Lucknow,Guwahati,1513094,N,B,5,8,0,0,1967022
9921,11057,11,4,IT-Software,Scientist,Analytics,M,HR,PG,Engineering,Surat,2002.0,Engineering,Surat,2004.0,Engineering,Bangalore,2009.0,Mangalore,Mumbai,1862312,Y,Key_Performer,4,6,0,1,2458251
9924,12406,19,6,Others,Sales Execituve,Automobile,N,Assistant Manager,Grad,Others,Lucknow,1992.0,Mathematics,Lucknow,1994.0,Engineering,Delhi,2001.0,Lucknow,Bhubaneswar,2527503,Y,Key_Performer,4,8,4,0,3235203
9925,26588,13,0,Marketing,Bio statistician,Training,H,Research Analyst,Doctorate,Statistics,Lucknow,2001.0,Statistics,Lucknow,2003.0,Others,Guwahati,2007.0,Nagpur,Pune,2458121,N,C,5,4,0,0,3052986
9930,46375,23,20,Education,Others,Telecom,M,Medical Officer,Grad,Zoology,Surat,1988.0,Others,Surat,1990.0,Chemistry,Lucknow,1997.0,Ahmedabad,Kanpur,2056509,Y,Key_Performer,6,8,0,0,2632331
9931,18935,8,2,Healthcare,Analyst,Analytics,G,Web Designer,PG,Economics,Guwahati,2004.0,Economics,Guwahati,2006.0,Economics,Delhi,2012.0,Pune,Kolkata,920977,N,A,3,4,0,0,1245160
9933,15393,11,9,Others,Analyst,Training,F,Manager,Grad,Others,Jaipur,2003.0,Mathematics,Jaipur,2005.0,Statistics,Bhubaneswar,2009.0,Delhi,Mumbai,1998949,Y,Key_Performer,5,7,0,0,2558654
9940,41847,7,0,Sales,Principal Analyst,FMCG,P,Product Manager,Grad,Chemistry,Kolkata,2004.0,Chemistry,Kolkata,2006.0,Chemistry,Mumbai,2013.0,Surat,Bhubaneswar,1199621,Y,B,4,5,0,0,1535514
9944,19893,5,5,Accounts,Financial Analyst,Automobile,K,Others,Grad,Statistics,Mangalore,2008.0,Statistics,Mangalore,2010.0,Statistics,Kolkata,2015.0,Jaipur,Lucknow,623828,Y,Key_Performer,5,5,0,0,830439
9945,27776,19,17,Accounts,Analyst,Aviation,E,Data Analyst,PG,Mathematics,Lucknow,1993.0,Mathematics,Lucknow,1995.0,Mathematics,Jaipur,2001.0,Jaipur,Lucknow,1785837,N,A,5,7,1,0,2321588
9952,16409,9,6,Marketing,Team Lead,Retail,I,Assistant Manager,Grad,Botony,Surat,2005.0,Botony,Surat,2007.0,Botony,Mumbai,2011.0,Delhi,Nagpur,732446,N,D,5,8,4,0,842312
9953,18955,21,1,Banking,Bio statistician,Insurance,K,HR,Doctorate,Arts,Bhubaneswar,1991.0,Arts,Bhubaneswar,1993.0,Arts,Guwahati,1999.0,Jaipur,Delhi,3596765,N,B,3,4,0,0,4855632
9955,15529,12,1,Healthcare,Scientist,FMCG,I,HR,Doctorate,Chemistry,Bhubaneswar,2001.0,Others,Bhubaneswar,2003.0,Economics,Bangalore,2008.0,Bangalore,Guwahati,1922055,N,C,5,6,0,1,2387192
9957,39562,23,18,Engineering,Analyst,Analytics,L,Consultant,PG,Chemistry,Kolkata,1991.0,Chemistry,Kolkata,1993.0,Others,Ahmedabad,1997.0,Mumbai,Lucknow,2992278,Y,A,2,6,1,0,3949806
9958,30671,8,0,Healthcare,Others,Training,J,HR,Doctorate,Engineering,Kolkata,2004.0,Engineering,Kolkata,2006.0,Others,Delhi,2012.0,Delhi,Mumbai,2040182,N,B,5,8,0,0,2754245
9959,25255,17,3,Top Management,Consultant,Automobile,E,Product Manager,PG,Botony,Nagpur,1997.0,Botony,Nagpur,1999.0,Botony,Mangalore,2003.0,Ahmedabad,Pune,3263458,N,B,3,3,0,0,4242495
9960,29610,9,4,Top Management,Senior Researcher,FMCG,D,Others,Grad,Botony,Jaipur,2003.0,Botony,Jaipur,2005.0,Botony,Jaipur,2011.0,Kanpur,Jaipur,985653,N,C,5,5,0,0,1133500
9962,59429,16,2,Engineering,Senior Researcher,Automobile,G,Marketing Manager,PG,Zoology,Bangalore,1998.0,Others,Bangalore,2000.0,Botony,Ahmedabad,2004.0,Lucknow,Lucknow,2824160,N,C,2,6,1,0,3377695
9964,22113,11,9,Accounts,Head,Telecom,K,Research Analyst,PG,Economics,Bhubaneswar,2002.0,Economics,Bhubaneswar,2004.0,Economics,Delhi,2009.0,Pune,Ahmedabad,1586622,Y,D,2,7,0,0,1926793
9965,40864,16,0,Banking,Bio statistician,Analytics,C,Consultant,Doctorate,Chemistry,Lucknow,1997.0,Chemistry,Lucknow,1999.0,Chemistry,Mumbai,2004.0,Bangalore,Bhubaneswar,2327187,Y,D,5,6,0,0,2997416
9966,14974,20,20,IT-Software,Sales Execituve,Insurance,D,Director,PG,Economics,Nagpur,1992.0,Economics,Nagpur,1994.0,Economics,Kolkata,2000.0,Kolkata,Mumbai,3495855,Y,Key_Performer,3,4,0,0,4614528
9968,36431,9,0,Marketing,Business Analyst,Automobile,N,Others,PG,Others,Nagpur,2003.0,Statistics,Nagpur,2005.0,Chemistry,Mumbai,2011.0,Guwahati,Ahmedabad,1138204,N,C,6,8,1,0,1361291
9969,40852,13,11,Analytics/BI,Bio statistician,Others,E,Software Developer,Doctorate,Statistics,Pune,2001.0,Statistics,Pune,2003.0,Statistics,Mangalore,2007.0,Kanpur,Guwahati,2157928,Y,C,3,7,0,0,2779411
9970,22810,20,20,IT-Software,Head,Training,L,Manager,PG,Others,Bhubaneswar,1994.0,Chemistry,Bhubaneswar,1996.0,Chemistry,Mumbai,2000.0,Surat,Kanpur,2845968,N,A,4,7,1,0,3699758
9971,38077,2,1,Sales,Business Analyst,IT,N,Research Analyst,Doctorate,Zoology,Guwahati,2011.0,Zoology,Guwahati,2013.0,Zoology,Guwahati,2018.0,Surat,Mumbai,854925,N,A,3,3,0,0,1068656
9973,28252,23,4,Healthcare,Business Analyst,FMCG,K,Director,Doctorate,Others,Nagpur,1989.0,Mathematics,Nagpur,1991.0,Zoology,Nagpur,1997.0,Mumbai,Mangalore,2297714,Y,C,6,4,0,0,2959455
9974,38830,19,4,Top Management,Area Sales Manager,FMCG,A,Research Analyst,Grad,Chemistry,Delhi,1992.0,Chemistry,Delhi,1994.0,Chemistry,Guwahati,2001.0,Delhi,Ahmedabad,2523324,Y,A,2,4,2,0,3229854
9975,12570,24,8,Healthcare,Sales Execituve,Retail,P,Network Engineer,Grad,Economics,Bhubaneswar,1990.0,Economics,Bhubaneswar,1992.0,Economics,Bangalore,1996.0,Ahmedabad,Delhi,2370225,Y,C,4,4,4,0,2791176
9976,37350,19,2,Banking,Others,IT,E,HR,Doctorate,Chemistry,Mangalore,1993.0,Chemistry,Mangalore,1995.0,Others,Mangalore,2001.0,Guwahati,Mumbai,2249359,N,D,6,4,0,0,2793703
9978,48033,17,11,Banking,Consultant,IT,L,Consultant,Grad,Sociology,Guwahati,1996.0,Sociology,Guwahati,1998.0,Sociology,Jaipur,2003.0,Kolkata,Jaipur,2387597,N,D,5,7,0,0,2745736
9979,31648,19,5,Marketing,Team Lead,Analytics,N,Assistant Manager,PG,Arts,Nagpur,1995.0,Arts,Nagpur,1997.0,Arts,Jaipur,2001.0,Bangalore,Mangalore,3211784,N,C,3,4,1,0,3841293
9980,15724,12,4,HR,Scientist,Others,P,Web Designer,Doctorate,Mathematics,Mumbai,2002.0,Others,Mumbai,2004.0,Sociology,Lucknow,2008.0,Mumbai,Nagpur,2371469,Y,D,2,7,0,1,3054452
9981,24924,21,9,Healthcare,Researcher,Analytics,D,Product Manager,Grad,Zoology,Ahmedabad,1993.0,Zoology,Ahmedabad,1995.0,Zoology,Ahmedabad,1999.0,Kanpur,Mangalore,2568411,N,A,4,3,0,0,3210513
9982,37650,17,8,Education,Team Lead,Analytics,B,Others,PG,Others,Kolkata,1994.0,Engineering,Kolkata,1996.0,Economics,Jaipur,2003.0,Chennai,Nagpur,2309462,N,B,2,6,1,0,3002300
9983,27758,15,15,Others,Senior Researcher,Aviation,K,Research Scientist,PG,Arts,Nagpur,1998.0,Arts,Nagpur,2000.0,Others,Kolkata,2005.0,Ahmedabad,Delhi,2378837,N,C,4,7,0,0,2845089
9984,55691,10,7,Top Management,Senior Analyst,Retail,N,Product Manager,Grad,Sociology,Guwahati,2003.0,Sociology,Guwahati,2005.0,Sociology,Pune,2010.0,Kanpur,Ahmedabad,1838522,N,C,2,5,0,0,2114300
9985,55781,21,13,HR,Others,Aviation,K,Research Analyst,Grad,Economics,Pune,1990.0,Economics,Pune,1992.0,Economics,Nagpur,1999.0,Kolkata,Kolkata,2458713,N,A,2,6,2,0,3073391
9986,41709,12,10,Engineering,Analyst,Others,C,Software Developer,PG,Mathematics,Delhi,2000.0,Mathematics,Delhi,2002.0,Mathematics,Mangalore,2008.0,Kanpur,Kanpur,2293586,Y,Key_Performer,4,7,1,0,3027533
